sample_id,split,known_or_unknown,true_class,true_label_index,predicted_class,confidence,second_class,second_confidence,margin,unknown_score,quality_pass,quality_flags,quality_score,correct_if_known,logit_basophil,logit_eosinophil,logit_lymphocyte,logit_monocyte,logit_neutrophil_segmented
00004f7f6665a3cfe2da,unknown_test,unknown,myeloblast,-1,monocyte,0.8284767270088196,lymphocyte,0.17042440176010132,0.6580523252487183,0.17152327299118042,True,,1.0,False,-3.248311996459961,-4.62354040145874,2.13100266456604,3.7122995853424072,-5.175278186798096
0001d6c94fc699099233,unknown_test,unknown,myeloblast,-1,lymphocyte,0.99974125623703,monocyte,0.00018506239575799555,0.999556193841272,0.0002587437629699707,True,,1.0,False,-4.091668605804443,-4.514168739318848,6.541116714477539,-2.0534420013427734,-3.7567012310028076
0006081838650c33db4e,known_test,known,eosinophil,1,eosinophil,0.9998378753662109,lymphocyte,0.00011865534906974062,0.9997192200171412,0.0001621246337890625,True,,1.0,True,-3.8959953784942627,7.05011510848999,-1.9890105724334717,-5.2851715087890625,-3.7056005001068115
00062b8735ae08aab918,known_test,known,eosinophil,1,eosinophil,0.9999983310699463,lymphocyte,1.7034811889971024e-06,0.9999966275887573,1.6689300537109375e-06,True,,1.0,True,-7.34089469909668,11.843629837036133,-1.439205288887024,-4.958498001098633,-6.961843013763428
000b28c943c4c19c14eb,known_validation,known,lymphocyte,2,lymphocyte,0.9999451637268066,neutrophil_segmented,4.9548714741831645e-05,0.9998956150120648,5.4836273193359375e-05,False,OVEREXPOSED,0.7,True,-4.855504035949707,-6.691734313964844,8.29355239868164,-4.415927410125732,-1.6189473867416382
000b3aa17af413a53553,unknown_test,unknown,hairy_cell,-1,lymphocyte,0.9500297904014587,monocyte,0.04320073500275612,0.9068290553987026,0.04997020959854126,True,,1.0,False,-4.666475296020508,-1.7261630296707153,3.3018951416015625,0.21125924587249756,-5.0849456787109375
000f158d705cb4fe0373,unknown_test,unknown,myeloblast,-1,monocyte,0.9379366636276245,lymphocyte,0.06100206449627876,0.8769345991313457,0.06206333637237549,True,,1.0,False,-4.6099700927734375,-3.0156142711639404,1.3096946477890015,4.042469501495361,-5.20372200012207
00110a155d465bf78f7e,unknown_test,unknown,neutrophil_band,-1,monocyte,0.9689884781837463,neutrophil_segmented,0.02295360155403614,0.9460348766297102,0.031011521816253662,True,,1.0,False,-5.470268249511719,-4.901946544647217,-0.8197726607322693,3.995910167694092,0.25313228368759155
001118c3c4974b90f5d0,unknown_test,unknown,normoblast,-1,lymphocyte,0.9330334663391113,neutrophil_segmented,0.043592508882284164,0.8894409574568272,0.06696653366088867,True,,1.0,False,-1.1719049215316772,-3.3991470336914062,2.7219784259796143,-3.2736706733703613,-0.341577410697937
0011e89a0d89ebfe2419,unknown_test,unknown,myeloblast,-1,lymphocyte,0.8864644765853882,monocyte,0.11175539344549179,0.7747090831398964,0.11353552341461182,True,,1.0,False,-3.066732406616211,-4.1355133056640625,3.4971272945404053,1.4261987209320068,-5.588294982910156
