image_id,image_path,split,sha256,average_hash
first_microscope/95-5-10-1/20160731_120755,/opt/dlami/nvme/datasets/raabin_wbc/fullfield/first_microscope/95-5-10-1/images/20160731_120755.jpg,train,2f98ed8613f6432f83b9f2c0c426dfa7deead57d32784932ec88f977ae19200c,3c3c7c7c7c7c3c3c
first_microscope/95-5-10-1/20160731_120835,/opt/dlami/nvme/datasets/raabin_wbc/fullfield/first_microscope/95-5-10-1/images/20160731_120835.jpg,train,95e3ca0207aa524e1da9e0df4b3b4459e62b1d8d33f0be2b4ab105c557651957,3c3c7c7c7c7c3c38
first_microscope/95-5-10-1/20160731_120847,/opt/dlami/nvme/datasets/raabin_wbc/fullfield/first_microscope/95-5-10-1/images/20160731_120847.jpg,train,b9684c7e6307388c14e21413dcb26f7fe7c351030db219a3cb5b8d4221922b90,3c3c7c7c7c7c3c3c
first_microscope/95-5-10-1/20160731_120927,/opt/dlami/nvme/datasets/raabin_wbc/fullfield/first_microscope/95-5-10-1/images/20160731_120927.jpg,train,b008cbc1a0e2e678c405ba4625ab5bb2746bcd7d8b504b0de5cf669494d6f950,3c3c7c7c7c7c3c3c
first_microscope/95-5-10-1/20160731_120949,/opt/dlami/nvme/datasets/raabin_wbc/fullfield/first_microscope/95-5-10-1/images/20160731_120949.jpg,train,21c2b670adb9474dddf110e5c88992907e2d242a8d523cd5c6ac36fc704d59be,3c7c7c7c7c7c3c3c
first_microscope/95-5-10-1/20160731_121010,/opt/dlami/nvme/datasets/raabin_wbc/fullfield/first_microscope/95-5-10-1/images/20160731_121010.jpg,train,6e49af43575cb8f9c458a35bf56ed0abfdb24974b8ccf4ecb11f59e6f2144de7,3c3c7c7c7c7c3c3c
first_microscope/95-5-10-1/20160731_121020,/opt/dlami/nvme/datasets/raabin_wbc/fullfield/first_microscope/95-5-10-1/images/20160731_121020.jpg,train,93a5d63aa2b63114a0afe49af9bd9579fc7acfb7438706134f340505a8bca933,3c3c7c7c7c7c3c3c
first_microscope/95-5-10-1/20160731_121038,/opt/dlami/nvme/datasets/raabin_wbc/fullfield/first_microscope/95-5-10-1/images/20160731_121038.jpg,train,f9e83334ff4924f82927a3c4297b16c288a118c62703787a072fd50b6ee1bf25,7c7c7c7c7c7c7c3c
first_microscope/95-5-10-1/20160731_121056,/opt/dlami/nvme/datasets/raabin_wbc/fullfield/first_microscope/95-5-10-1/images/20160731_121056.jpg,train,e415102b42dbaa75ef5d6c77692f1953ba242928266944d1922958728d381624,3c7c7c7c7c7c3c3c
first_microscope/95-5-10-1/20160731_121108,/opt/dlami/nvme/datasets/raabin_wbc/fullfield/first_microscope/95-5-10-1/images/20160731_121108.jpg,train,25cd3384ddaa91d3c30a4ee1d6caad0ca57ab84076fef1aad19f47a46b8ef0d6,3c3c7c7c7c7c3c3c
first_microscope/95-5-10-1/20160731_121134,/opt/dlami/nvme/datasets/raabin_wbc/fullfield/first_microscope/95-5-10-1/images/20160731_121134.jpg,train,177ad8afbd528abbb5dd9d623084979c986e71b63a851f44bfcfa18ea24fbb44,3c3c7c7c7c7c3c3c
first_microscope/95-5-10-1/20160731_121201,/opt/dlami/nvme/datasets/raabin_wbc/fullfield/first_microscope/95-5-10-1/images/20160731_121201.jpg,train,42eaba50e06dffc94bb969afaae1a6d6f10e3384bbd902a0ebb1a343a4eaf687,3c3c7c7c7c7c3c3c
first_microscope/95-5-10-1/20160731_121355,/opt/dlami/nvme/datasets/raabin_wbc/fullfield/first_microscope/95-5-10-1/images/20160731_121355.jpg,train,51f5c098a101f501032b5d498c853f2880c9b5fe0553c57f5a4337224f6b2aeb,3c3c7c7c7c7c3c3c
first_microscope/95-5-10-1/20160731_121426,/opt/dlami/nvme/datasets/raabin_wbc/fullfield/first_microscope/95-5-10-1/images/20160731_121426.jpg,train,e9b0b3b746e619bb59da8b1883aeb5abffa34696dec9aa39caa162c8ac63ae93,3c3c7c7c7c7c3c38
first_microscope/95-5-10-1/20160731_121439,/opt/dlami/nvme/datasets/raabin_wbc/fullfield/first_microscope/95-5-10-1/images/20160731_121439.jpg,train,4ccfacc881d1c9cad7cf4cd0130124bed477489deaa2bfdc9fff4e91744e8cb9,3c3c7c7c7c7c3c3c
first_microscope/95-5-10-1/20160731_121529,/opt/dlami/nvme/datasets/raabin_wbc/fullfield/first_microscope/95-5-10-1/images/20160731_121529.jpg,train,543110b6b7e83f3fd7ea497d1bdea2aa27880a4ec09439da0e6939b90acc9768,3c3c7c7c7c7c3c3c
first_microscope/95-5-10-1/20160731_121548,/opt/dlami/nvme/datasets/raabin_wbc/fullfield/first_microscope/95-5-10-1/images/20160731_121548.jpg,train,630d016c4dd16be479fc6c4301eabb48b0cd24d879b5d8ba6e6fae1baf0c8e00,3c3c7c7c7c7c3c38
first_microscope/95-5-10-1/20160731_121613,/opt/dlami/nvme/datasets/raabin_wbc/fullfield/first_microscope/95-5-10-1/images/20160731_121613.jpg,train,37527ca755492b471eb87fcb336a67a1a8ffa8119d2d6af344303c77da4e4dd8,3c3c7c7c7c7c3c3c
first_microscope/95-5-10-1/20160731_121621,/opt/dlami/nvme/datasets/raabin_wbc/fullfield/first_microscope/95-5-10-1/images/20160731_121621.jpg,train,4e3948e48aa8231b27e31f762ef3ee1358b619d097accba1e46ba9718be28ea1,3c7c7c7c7c7c3c3c
first_microscope/95-5-10-1/20160731_121640,/opt/dlami/nvme/datasets/raabin_wbc/fullfield/first_microscope/95-5-10-1/images/20160731_121640.jpg,train,2c52a3d362e24401468fad06bc7de772674078e1953b2ddb0eef9d72db16b22c,3c3c7c7c7c7c3c38
first_microscope/95-5-10-1/20160731_121648,/opt/dlami/nvme/datasets/raabin_wbc/fullfield/first_microscope/95-5-10-1/images/20160731_121648.jpg,train,334b9d015e3c613a312fbc005347ab936e9b3609bf83e8852392eab64d58deda,3c3c7c7c7c7c3c3c
first_microscope/95-5-10-1/20160731_121655,/opt/dlami/nvme/datasets/raabin_wbc/fullfield/first_microscope/95-5-10-1/images/20160731_121655.jpg,train,1e4877524dd04c9cfd4812b23f5093959681b60c8c3f504a2ec30c99e7acd892,3c7c7c7c7c7c3c38
first_microscope/95-5-10-1/20160731_121703,/opt/dlami/nvme/datasets/raabin_wbc/fullfield/first_microscope/95-5-10-1/images/20160731_121703.jpg,train,fa79c3cf7dd451a9398121beb61574048e102f7966b0d408e0b30398ba51167c,383c7c7c7c7c3c3c
first_microscope/95-5-10-1/20160731_121744,/opt/dlami/nvme/datasets/raabin_wbc/fullfield/first_microscope/95-5-10-1/images/20160731_121744.jpg,train,a485df47243ae4a6e947cef0ea14c776967abdb8b851ffa9579138b687f9de9d,3c3c7c7c7c7c3c3c
first_microscope/95-5-10-1/20160731_121802,/opt/dlami/nvme/datasets/raabin_wbc/fullfield/first_microscope/95-5-10-1/images/20160731_121802.jpg,train,319ab97f3610569ceed6603d20e587e7bc32f684ee92673811d87e36152189dd,3c3c7c7c7c7c3c38
first_microscope/95-5-10-1/20160731_121809,/opt/dlami/nvme/datasets/raabin_wbc/fullfield/first_microscope/95-5-10-1/images/20160731_121809.jpg,train,3f48c5de04cfb8a3c42d6fd6d70095541d9e3325ad1d10a93915f17a8a71cdf1,3c3c7c7c7c7c3c38
first_microscope/95-5-10-1/20160731_121815,/opt/dlami/nvme/datasets/raabin_wbc/fullfield/first_microscope/95-5-10-1/images/20160731_121815.jpg,train,e06a9005fe7701ddbaf45ddf9afcdb03dd20f288a1c151b4fced1951b6c589ec,3c7c7c7c7c7c3c38
first_microscope/95-5-10-1/20160731_121834,/opt/dlami/nvme/datasets/raabin_wbc/fullfield/first_microscope/95-5-10-1/images/20160731_121834.jpg,train,cef00e242db04b7cd5806d521952f07ee052056f0509ebff128864435f89e930,3c3c7c7c7c7c3c3c
first_microscope/95-5-10-1/20160731_121848,/opt/dlami/nvme/datasets/raabin_wbc/fullfield/first_microscope/95-5-10-1/images/20160731_121848.jpg,train,50a4c53dd6a7b2c62113eb1d3d4a72471c128b9aea3aa1c868e6a35b3ea79c51,3c3c7c7c7c7c3c3c
first_microscope/95-5-10-1/20160731_121907,/opt/dlami/nvme/datasets/raabin_wbc/fullfield/first_microscope/95-5-10-1/images/20160731_121907.jpg,train,d4ac2bdeb3e2fde6925e1033f1131375469554cc9635620742ce51dcee954e00,3c3c7c7c7c7c3c38
first_microscope/95-5-10-1/20160731_121919,/opt/dlami/nvme/datasets/raabin_wbc/fullfield/first_microscope/95-5-10-1/images/20160731_121919.jpg,train,7ee5353f8898fff3ba2cf66180a376d542a638bcf1b1189541ab55e5217d7e14,3c3c7c7c7c7c3c3c
first_microscope/95-5-10-1/20160731_122356,/opt/dlami/nvme/datasets/raabin_wbc/fullfield/first_microscope/95-5-10-1/images/20160731_122356.jpg,train,d67a8c823ac76c94c625251019627d87c743b916d5a7dfedea40e8c07806754a,3c7c7c7c7c7c3c3c
first_microscope/95-5-10-1/20160731_122412,/opt/dlami/nvme/datasets/raabin_wbc/fullfield/first_microscope/95-5-10-1/images/20160731_122412.jpg,train,783694b6ea871fb29ec9e216f992d32ba4a76a7642d09a906cf5fb49b303660d,3c7c7c7c7c7c3c3c
first_microscope/95-5-10-1/20160731_122424,/opt/dlami/nvme/datasets/raabin_wbc/fullfield/first_microscope/95-5-10-1/images/20160731_122424.jpg,train,3061704af57d0d4953c2598b2b5c8d3c08c31b4ce3c8d5876eb30afe3cb5e2a8,3c3c7c7c7c7c3c3c
first_microscope/95-5-10-1/20160731_122439,/opt/dlami/nvme/datasets/raabin_wbc/fullfield/first_microscope/95-5-10-1/images/20160731_122439.jpg,train,a3db81d4871c20d6ab39dd421bff1bb02f689bf02094509e8cee629d2a0257b3,3c3c7c7c7c7c3c3c
first_microscope/95-5-10-1/20160731_122452,/opt/dlami/nvme/datasets/raabin_wbc/fullfield/first_microscope/95-5-10-1/images/20160731_122452.jpg,train,435920ad5736976d336d324685537ab835884ebf3d89b0cddb7b0709b8302cf2,3c3c7c7c7c7c3c3c
first_microscope/95-5-10-1/20160731_122508,/opt/dlami/nvme/datasets/raabin_wbc/fullfield/first_microscope/95-5-10-1/images/20160731_122508.jpg,train,06bdfb08dbf33c436dbccdc244abdde14ab78c81c616ba7648c868a1c9621e9a,3c7c7c7c7c7c3c3c
first_microscope/95-5-10-1/20160731_122518,/opt/dlami/nvme/datasets/raabin_wbc/fullfield/first_microscope/95-5-10-1/images/20160731_122518.jpg,train,d9cc7d23cc3d7cfba968178549c66a7e8a847b53fdb853f7ff7e9bf659b2dcf6,3c3c7c7c7c7c3c38
first_microscope/95-5-10-1/20160731_122530,/opt/dlami/nvme/datasets/raabin_wbc/fullfield/first_microscope/95-5-10-1/images/20160731_122530.jpg,train,b70c242a3772d669a829165ae1924e1f073fdf495dfa0a14480a715fa6f4278c,3c3c7c7c7c7c3c38
first_microscope/95-5-10-1/20160731_122545,/opt/dlami/nvme/datasets/raabin_wbc/fullfield/first_microscope/95-5-10-1/images/20160731_122545.jpg,train,4a7873a6bddda10af109335bea885e7e6e2b36d6135cbc68986fb310e44873ae,3c3c7c7c7c7c3c3c
first_microscope/95-5-10-1/20160731_122555,/opt/dlami/nvme/datasets/raabin_wbc/fullfield/first_microscope/95-5-10-1/images/20160731_122555.jpg,train,c61c3ee30a8cdcc989721990b6b4b30ebb318a59c3142b393e3ae35eec2250fa,3c3c7c7c7c7c3c3c
first_microscope/95-5-10-1/20160731_122608,/opt/dlami/nvme/datasets/raabin_wbc/fullfield/first_microscope/95-5-10-1/images/20160731_122608.jpg,train,5ce700fd89f2200e013872f17af2934efdb38287f5c044c19fe0788fcb269997,3c7c7c7c7c7c3c3c
first_microscope/95-5-10-1/20160731_122613,/opt/dlami/nvme/datasets/raabin_wbc/fullfield/first_microscope/95-5-10-1/images/20160731_122613.jpg,train,50a611f3aee66828657f1a849c4826effc79ae7b5b7ff59f93b704c95d7f1d4d,3c7c7c7c7c7c3c38
first_microscope/95-5-10-1/20160731_122630,/opt/dlami/nvme/datasets/raabin_wbc/fullfield/first_microscope/95-5-10-1/images/20160731_122630.jpg,train,cb515848febd5c840d9c96aec9af0137a461e5e59cba153784c7e4318872a0d7,3c7c7c7c7c7c3c38
first_microscope/95-5-10-1/20160731_122635,/opt/dlami/nvme/datasets/raabin_wbc/fullfield/first_microscope/95-5-10-1/images/20160731_122635.jpg,train,fa15f36328ed96da0647d8d53cafb29dc18ae945b7427374dde8d0bfe19d0fee,3c7c7c7c7c7c3c38
first_microscope/95-5-10-1/20160731_122642,/opt/dlami/nvme/datasets/raabin_wbc/fullfield/first_microscope/95-5-10-1/images/20160731_122642.jpg,train,27dbff30095414b163b987b95d3483192cb757bb49500ac3dbcbafd6b4e25765,3c7c7c7c7c7c3c38
